0	2.82	10.81
1 	4.05	8.10
17 	4.39	8.75
17 	4.16	8.34
22 	4.89	9.93
51 	4.84	9.46
53 	4.99	10.26
57 	5.01	12.65
60 	3.89	7.57
63 	4.54	9.01
64 	5.69	8.42
107 	8.11	9.89
109 	5.71	10.37
133 	5.07	8.77
139 	7.55	8.71
144 	4.85	9.94
145 	4.86	9.68
146 	5.76	9.33
148 	9.66	10.35
151 	4.83	11.44
152 	5.16	8.52
153 	5.17	8.60
155 	11.27	9.49
158 	8.91	9.26
159 	6.45	8.00
161 	12.91	8.58
162 	9.66	10.41
165 	4.83	12.63
166 	4.83	9.34
167 	5.44	12.08
170 	4.61	8.35
170 	9.09	11.84
171 	5.66	10.47
172 	6.45	8.37
173 	5.65	11.48
174 	8.87	11.39
176 	8.88	10.63
177 	6.44	9.75
180 	6.46	11.63
181 	3.24	12.96
181 	6.47	9.41
182 	9.73	10.49
183 	5.40	10.93
184 	16.76	9.95
185 	4.84	10.42
186 	8.21	10.77
190 	12.93	9.85
191 	4.87	9.67
198 	17.72	9.56
245 	2.64	9.74
246 	2.47	9.79
248 	4.49	10.96
249 	3.23	11.01
250 	4.82	10.94
253 	12.87	9.93
254 	5.10	11.97
257 	16.11	9.67
261 	21.26	9.57
288 	4.90	11.65
299 	4.84	10.28
340 	5.00	10.85
345 	3.25	12.38
349 	5.03	11.76
352 	6.54	9.73
353 	1.88	11.66
354 	4.85	10.08
355 	12.09	9.87
356 	5.65	10.13
357 	2.45	11.22
358 	24.17	8.88
359 	1.72	12.05
361 	4.85	11.79
366 	5.05	10.55
368 	6.46	11.19
